       -7,000000       -0,000000       -0,000000
       -6,950000       -0,000000       -0,000000
       -6,900000       -0,000000       -0,000000
       -6,850000       -0,000000       -0,000000
       -6,800000       -0,000000       -0,000000
       -6,750000       -0,000000       -0,000000
       -6,700000       -0,000000       -0,000000
       -6,650000       -0,000000       -0,000000
       -6,600000       -0,000000       -0,000000
       -6,550000       -0,000000       -0,000000
       -6,500000       -0,000000       -0,000000
       -6,450000       -0,000000       -0,000000
       -6,400000       -0,000000        0,000000
       -6,350000       -0,000000        0,000000
       -6,300000       -0,000000        0,000000
       -6,250000        0,000000        0,000000
       -6,200000        0,000000        0,000000
       -6,150000        0,000000        0,000000
       -6,100000        0,000000        0,000000
       -6,050000        0,000000        0,000000
       -6,000000        0,000000        0,000000
       -5,950000        0,000000        0,000000
       -5,900000        0,000000        0,000000
       -5,850000        0,000000        0,000000
       -5,800000        0,000000        0,000000
       -5,750000        0,000000        0,000000
       -5,700000        0,000000        0,000000
       -5,650000        0,000000        0,000000
       -5,600000        0,000000        0,000001
       -5,550000        0,000000        0,000001
       -5,500000        0,000000        0,000001
       -5,450000        0,000000        0,000002
       -5,400000        0,000000        0,000002
       -5,350000        0,000000        0,000003
       -5,300000        0,000001        0,000004
       -5,250000        0,000001        0,000005
       -5,200000        0,000001        0,000007
       -5,150000        0,000002        0,000009
       -5,100000        0,000002        0,000011
       -5,050000        0,000003        0,000015
       -5,000000        0,000004        0,000019
       -4,950000        0,000005        0,000024
       -4,900000        0,000006        0,000031
       -4,850000        0,000008        0,000039
       -4,800000        0,000010        0,000048
       -4,750000        0,000013        0,000060
       -4,700000        0,000016        0,000075
       -4,650000        0,000020        0,000092
       -4,600000        0,000025        0,000113
       -4,550000        0,000032        0,000138
       -4,500000        0,000039        0,000168
       -4,450000        0,000048        0,000202
       -4,400000        0,000059        0,000243
       -4,350000        0,000073        0,000289
       -4,300000        0,000088        0,000342
       -4,250000        0,000107        0,000402
       -4,200000        0,000129        0,000468
       -4,150000        0,000154        0,000542
       -4,100000        0,000183        0,000622
       -4,050000        0,000216        0,000707
       -4,000000        0,000254        0,000796
       -3,950000        0,000296        0,000886
       -3,900000        0,000342        0,000974
       -3,850000        0,000393        0,001055
       -3,800000        0,000448        0,001123
       -3,750000        0,000505        0,001169
       -3,700000        0,000564        0,001184
       -3,650000        0,000623        0,001156
       -3,600000        0,000679        0,001068
       -3,550000        0,000728        0,000903
       -3,500000        0,000767        0,000637
       -3,450000        0,000790        0,000246
       -3,400000        0,000789       -0,000303
       -3,350000        0,000757       -0,001043
       -3,300000        0,000681       -0,002016
       -3,250000        0,000550       -0,003268
       -3,200000        0,000349       -0,004850
       -3,150000        0,000059       -0,006818
       -3,100000       -0,000340       -0,009237
       -3,050000       -0,000873       -0,012174
       -3,000000       -0,001568       -0,015701
       -2,950000       -0,002455       -0,019896
       -2,900000       -0,003570       -0,024840
       -2,850000       -0,004953       -0,030615
       -2,800000       -0,006647       -0,037305
       -2,750000       -0,008700       -0,044993
       -2,700000       -0,011164       -0,053758
       -2,650000       -0,014095       -0,063674
       -2,600000       -0,017552       -0,074809
       -2,550000       -0,021597       -0,087216
       -2,500000       -0,026295       -0,100937
       -2,450000       -0,031713       -0,115996
       -2,400000       -0,037917       -0,132394
       -2,350000       -0,044974       -0,150110
       -2,300000       -0,052949       -0,169092
       -2,250000       -0,061903       -0,189259
       -2,200000       -0,071893       -0,210495
       -2,150000       -0,082968       -0,232644
       -2,100000       -0,095169       -0,255515
       -2,050000       -0,108527       -0,278872
       -2,000000       -0,123060       -0,302439
       -1,950000       -0,138770       -0,325899
       -1,900000       -0,155642       -0,348893
       -1,850000       -0,173645       -0,371025
       -1,800000       -0,192723       -0,391865
       -1,750000       -0,212802       -0,410952
       -1,700000       -0,233781       -0,427802
       -1,650000       -0,255537       -0,441917
       -1,600000       -0,277919       -0,452789
       -1,550000       -0,300753       -0,459912
       -1,500000       -0,323839       -0,462794
       -1,450000       -0,346954       -0,460967
       -1,400000       -0,369850       -0,454000
       -1,350000       -0,392262       -0,441508
       -1,300000       -0,413904       -0,423168
       -1,250000       -0,434477       -0,398731
       -1,200000       -0,453672       -0,368028
       -1,150000       -0,471174       -0,330986
       -1,100000       -0,486666       -0,287635
       -1,050000       -0,499834       -0,238111
       -1,000000       -0,510378       -0,182668
       -0,950000       -0,518009       -0,121674
       -0,900000       -0,522461       -0,055615
       -0,850000       -0,523496        0,014908
       -0,800000       -0,520907        0,089187
       -0,750000       -0,514528        0,166412
       -0,700000       -0,504232        0,245683
       -0,650000       -0,489942        0,326025
       -0,600000       -0,471629        0,406401
       -0,550000       -0,449319        0,485733
       -0,500000       -0,423092        0,562918
