       -7,000000        0,000000        0,000000
       -6,950000        0,000000        0,000000
       -6,900000        0,000000        0,000000
       -6,850000        0,000000        0,000000
       -6,800000        0,000000        0,000000
       -6,750000        0,000000        0,000000
       -6,700000        0,000000        0,000000
       -6,650000        0,000000        0,000000
       -6,600000        0,000000        0,000000
       -6,550000        0,000000        0,000000
       -6,500000        0,000000        0,000000
       -6,450000        0,000000        0,000000
       -6,400000        0,000000        0,000000
       -6,350000        0,000000        0,000000
       -6,300000        0,000000        0,000000
       -6,250000        0,000000        0,000000
       -6,200000        0,000000        0,000000
       -6,150000        0,000000        0,000000
       -6,100000        0,000000        0,000000
       -6,050000        0,000000        0,000000
       -6,000000        0,000000        0,000000
       -5,950000        0,000000        0,000000
       -5,900000        0,000000        0,000000
       -5,850000        0,000000        0,000000
       -5,800000        0,000000        0,000000
       -5,750000        0,000000        0,000000
       -5,700000        0,000000        0,000000
       -5,650000        0,000000        0,000000
       -5,600000        0,000000        0,000000
       -5,550000        0,000000        0,000000
       -5,500000        0,000000        0,000001
       -5,450000        0,000000        0,000001
       -5,400000        0,000000        0,000001
       -5,350000        0,000000        0,000001
       -5,300000        0,000000        0,000002
       -5,250000        0,000000        0,000002
       -5,200000        0,000001        0,000003
       -5,150000        0,000001        0,000004
       -5,100000        0,000001        0,000005
       -5,050000        0,000001        0,000006
       -5,000000        0,000001        0,000007
       -4,950000        0,000002        0,000009
       -4,900000        0,000002        0,000012
       -4,850000        0,000003        0,000015
       -4,800000        0,000004        0,000019
       -4,750000        0,000005        0,000024
       -4,700000        0,000006        0,000030
       -4,650000        0,000008        0,000037
       -4,600000        0,000010        0,000047
       -4,550000        0,000013        0,000058
       -4,500000        0,000016        0,000072
       -4,450000        0,000020        0,000089
       -4,400000        0,000025        0,000110
       -4,350000        0,000031        0,000135
       -4,300000        0,000039        0,000166
       -4,250000        0,000048        0,000203
       -4,200000        0,000059        0,000248
       -4,150000        0,000073        0,000301
       -4,100000        0,000089        0,000366
       -4,050000        0,000109        0,000443
       -4,000000        0,000134        0,000535
       -3,950000        0,000163        0,000645
       -3,900000        0,000199        0,000775
       -3,850000        0,000241        0,000928
       -3,800000        0,000292        0,001109
       -3,750000        0,000353        0,001322
       -3,700000        0,000425        0,001572
       -3,650000        0,000510        0,001863
       -3,600000        0,000612        0,002203
       -3,550000        0,000732        0,002597
       -3,500000        0,000873        0,003054
       -3,450000        0,001038        0,003582
       -3,400000        0,001232        0,004190
       -3,350000        0,001459        0,004887
       -3,300000        0,001723        0,005684
       -3,250000        0,002029        0,006594
       -3,200000        0,002384        0,007629
       -3,150000        0,002794        0,008802
       -3,100000        0,003267        0,010127
       -3,050000        0,003810        0,011620
       -3,000000        0,004432        0,013296
       -2,950000        0,005143        0,015171
       -2,900000        0,005953        0,017262
       -2,850000        0,006873        0,019587
       -2,800000        0,007915        0,022163
       -2,750000        0,009094        0,025007
       -2,700000        0,010421        0,028137
       -2,650000        0,011912        0,031567
       -2,600000        0,013583        0,035316
       -2,550000        0,015449        0,039396
       -2,500000        0,017528        0,043821
       -2,450000        0,019837        0,048602
       -2,400000        0,022395        0,053747
       -2,350000        0,025218        0,059263
       -2,300000        0,028327        0,065152
       -2,250000        0,031740        0,071414
       -2,200000        0,035475        0,078044
       -2,150000        0,039550        0,085033
       -2,100000        0,043984        0,092366
       -2,050000        0,048792        0,100024
       -2,000000        0,053991        0,107982
       -1,950000        0,059595        0,116210
       -1,900000        0,065616        0,124670
       -1,850000        0,072065        0,133320
       -1,800000        0,078950        0,142110
       -1,750000        0,086277        0,150985
       -1,700000        0,094049        0,159883
       -1,650000        0,102265        0,168737
       -1,600000        0,110921        0,177473
       -1,550000        0,120009        0,186014
       -1,500000        0,129518        0,194276
       -1,450000        0,139431        0,202174
       -1,400000        0,149727        0,209618
       -1,350000        0,160383        0,216517
       -1,300000        0,171369        0,222779
       -1,250000        0,182649        0,228311
       -1,200000        0,194186        0,233023
       -1,150000        0,205936        0,236827
       -1,100000        0,217852        0,239637
       -1,050000        0,229882        0,241376
       -1,000000        0,241971        0,241971
       -0,950000        0,254059        0,241356
       -0,900000        0,266085        0,239477
       -0,850000        0,277985        0,236287
       -0,800000        0,289692        0,231753
       -0,750000        0,301137        0,225853
       -0,700000        0,312254        0,218578
       -0,650000        0,322972        0,209932
       -0,600000        0,333225        0,199935
       -0,550000        0,342944        0,188619
       -0,500000        0,352065        0,176033
       -0,450000        0,360527        0,162237
       -0,400000        0,368270        0,147308
       -0,350000        0,375240        0,131334
       -0,300000        0,381388        0,114416
       -0,250000        0,386668        0,096667
       -0,200000        0,391043        0,078209
       -0,150000        0,394479        0,059172
       -0,100000        0,396953        0,039695
