x: 21,0000	f: 0,0000
x: 21,1000	f: 0,0000
x: 21,2000	f: 0,0000
x: 21,3000	f: 0,0000
x: 21,4000	f: 0,0000
x: 21,5000	f: 0,0000
x: 21,6000	f: 0,0000
x: 21,7000	f: 0,0000
x: 21,8000	f: 0,0000
x: 21,9000	f: 0,0000
x: 22,0000	f: 0,0000
x: 22,1000	f: 0,0000
x: 22,2000	f: 0,0000
x: 22,3000	f: 0,0000
x: 22,4000	f: 0,0000
x: 22,5000	f: 0,0000
x: 22,6000	f: 0,0000
x: 22,7000	f: 0,0000
x: 22,8000	f: 0,0000
x: 22,9000	f: 0,0000
x: 23,0000	f: 0,0000
x: 23,1000	f: 0,0000
x: 23,2000	f: 0,0000
x: 23,3000	f: 0,0000
x: 23,4000	f: 0,0000
x: 23,5000	f: 0,0000
x: 23,6000	f: 0,0000
x: 23,7000	f: 0,0000
x: 23,8000	f: 0,0000
x: 23,9000	f: 0,0000
x: 24,0000	f: 0,0000
x: 24,1000	f: 0,0000
x: 24,2000	f: 0,0000
x: 24,3000	f: 0,0000
x: 24,4000	f: 0,0000
x: 24,5000	f: 0,0000
x: 24,6000	f: 0,0000
x: 24,7000	f: 0,0000
x: 24,8000	f: 0,0000
x: 24,9000	f: 0,0000
x: 25,0000	f: 0,0000
x: 25,1000	f: 0,0000
x: 25,2000	f: 0,0000
x: 25,3000	f: 0,0000
x: 25,4000	f: 0,0000
x: 25,5000	f: 0,0000
x: 25,6000	f: 0,0000
x: 25,7000	f: 0,0000
x: 25,8000	f: 0,0000
x: 25,9000	f: 0,0000
x: 26,0000	f: 0,0000
x: 26,1000	f: 0,0000
x: 26,2000	f: 0,0000
x: 26,3000	f: 0,0000
x: 26,4000	f: 0,0000
x: 26,5000	f: 0,0000
x: 26,6000	f: 0,0000
x: 26,7000	f: 0,0000
x: 26,8000	f: 0,0000
x: 26,9000	f: 0,0000
x: 27,0000	f: 0,0000
x: 27,1000	f: 0,0000
x: 27,2000	f: 0,0000
x: 27,3000	f: 0,0000
x: 27,4000	f: 0,0000
x: 27,5000	f: 0,0000
x: 27,6000	f: 0,0000
x: 27,7000	f: 0,0000
